idx,date,area,dayAvgRhm,dayAvgTa,dayAvgWs,dayMaxTa,dayMinRhm,daySumRn,daySumSs,paCropName,paCropSpeId
329,2017-11-15,평택,50,5,2,8,27,0,0,무,PA130401
330,2017-11-27,평택,76,2,1,8,45,0,0,무,PA130401
331,2017-11-02,평택,79,14,1,19,55,0,0,무,PA130401
332,2017-11-17,평택,55,2,1,6,25,0,0,무,PA130401
333,2017-11-11,평택,52,5,2,10,36,0,0,무,PA130401
334,2017-11-30,평택,34,0,3,2,17,0,0,무,PA130401
335,2017-11-29,평택,53,4,2,8,34,0,0,무,PA130401
336,2017-11-19,평택,43,0,1,4,27,0,0,무,PA130401
337,2017-11-16,평택,54,1,1,6,29,0,0,무,PA130401
338,2017-11-01,평택,75,13,1,19,53,0,0,무,PA130401
339,,,0,0,0,0,0,0,0,,
340,,,0,0,0,0,0,0,0,,
341,2017-12-14,평택,54,-6,1,0,19,0,0,무,PA130401
342,2017-12-12,평택,42,-7,3,-3,22,0,0,무,PA130401
343,,,0,0,0,0,0,0,0,,
344,2017-12-20,평택,72,-2,1,3,39,0,0,무,PA130401
345,,,0,0,0,0,0,0,0,,
346,,,0,0,0,0,0,0,0,,
347,2017-12-15,평택,53,-2,1,2,19,0,0,무,PA130401
348,,,0,0,0,0,0,0,0,,
349,2017-12-02,평택,67,1,1,8,37,0,0,무,PA130401
350,2017-12-10,평택,69,3,3,8,40,1,0,무,PA130401
351,2017-12-18,평택,61,0,2,6,37,0,0,무,PA130401
352,2017-12-01,평택,49,-1,1,2,25,0,0,무,PA130401
353,2017-12-06,평택,77,0,1,5,50,0,0,무,PA130401
354,2017-12-07,평택,72,1,1,5,31,0,0,무,PA130401
355,2017-12-17,평택,47,-5,1,-1,28,0,0,무,PA130401
356,2017-12-30,평택,81,2,1,6,56,3,0,무,PA130401
357,2017-12-03,평택,80,3,1,9,66,0,0,무,PA130401
358,2017-12-08,평택,49,-2,2,0,34,0,0,무,PA130401
359,2017-12-21,평택,75,0,1,4,37,0,0,무,PA130401
360,2017-12-26,평택,56,-2,3,0,27,0,0,무,PA130401
361,2017-12-24,평택,82,3,2,6,62,12,0,무,PA130401
362,2017-12-29,평택,72,2,1,6,59,0,0,무,PA130401
363,2017-12-09,평택,54,0,1,3,40,0,0,무,PA130401
364,2017-12-05,평택,46,-3,2,0,26,0,0,무,PA130401
365,2017-12-27,평택,41,-5,2,-2,20,0,0,무,PA130401
366,2017-12-28,평택,55,-1,1,2,27,0,0,무,PA130401
367,2017-12-11,평택,46,-4,4,0,35,0,0,무,PA130401
368,2017-12-04,평택,58,0,3,3,26,0,0,무,PA130401
369,2017-12-13,평택,43,-7,2,-2,26,0,0,무,PA130401
370,,,0,0,0,0,0,0,0,,
371,2017-12-16,평택,45,-3,3,0,23,0,0,무,PA130401
372,2018-01-02,평택,59,-1,1,2,29,0,0,무,PA130401
373,,,0,0,0,0,0,0,0,,
374,,,0,0,0,0,0,0,0,,
375,2018-01-17,평택,85,3,0,6,72,3,0,무,PA130401
376,2018-01-08,평택,67,1,2,3,51,1,0,무,PA130401
377,2018-01-22,평택,63,1,2,6,43,0,0,무,PA130401
378,2018-01-18,평택,77,2,0,5,58,0,0,무,PA130401
379,,,0,0,0,0,0,0,0,,
380,2018-01-07,평택,58,-1,0,3,37,0,0,무,PA130401
381,,,0,0,0,0,0,0,0,,
382,2018-01-09,평택,76,-3,3,0,58,0,0,무,PA130401
383,2018-01-01,평택,62,-1,1,3,31,0,0,무,PA130401
384,2018-01-04,평택,51,-3,1,0,33,0,0,무,PA130401
385,2018-01-21,평택,70,0,0,4,16,0,0,무,PA130401
386,2018-01-06,평택,68,-2,1,2,37,0,0,무,PA130401
387,2018-01-31,평택,47,-1,1,1,22,0,0,무,PA130401
388,,,0,0,0,0,0,0,0,,
389,,,0,0,0,0,0,0,0,,
390,2018-01-23,평택,43,-9,4,-2,23,0,0,무,PA130401
391,,,0,0,0,0,0,0,0,,
392,2018-01-15,평택,72,3,0,7,51,0,0,무,PA130401
393,2018-01-16,평택,78,2,0,6,61,0,0,무,PA130401
394,2018-01-12,평택,62,-10,0,-6,41,0,0,무,PA130401
395,,,0,0,0,0,0,0,0,,
396,2018-01-03,평택,47,-3,2,0,32,0,0,무,PA130401
397,2018-01-14,평택,71,0,0,5,48,0,0,무,PA130401
398,,,0,0,0,0,0,0,0,,
399,2018-01-19,평택,60,0,0,4,28,0,0,무,PA130401
400,2018-01-13,평택,79,-4,0,0,63,0,0,무,PA130401
401,,,0,0,0,0,0,0,0,,
402,,,0,0,0,0,0,0,0,,
403,2018-02-03,평택,50,-5,4,-2,34,0,0,무,PA130401
404,,,0,0,0,0,0,0,0,,
405,2018-02-11,평택,59,-5,2,-1,21,0,0,무,PA130401
406,2018-02-04,평택,42,-8,3,-5,31,0,0,무,PA130401
407,2018-02-15,평택,42,0,2,3,18,0,0,무,PA130401
408,2018-02-14,평택,58,3,3,10,47,0,0,무,PA130401
409,,,0,0,0,0,0,0,0,,
410,2018-02-08,평택,51,-4,1,3,19,0,0,무,PA130401
411,2018-02-28,평택,73,5,2,9,44,26,0,무,PA130401
412,2018-02-25,평택,46,1,1,7,10,0,0,무,PA130401
413,,,0,0,0,0,0,0,0,,
414,2018-02-16,평택,54,-1,2,4,19,0,0,무,PA130401
415,2018-02-01,평택,51,-3,1,2,18,0,0,무,PA130401
416,2018-02-10,평택,50,0,3,4,20,0,0,무,PA130401
417,2018-02-17,평택,37,-2,2,1,13,0,0,무,PA130401
418,2018-02-26,평택,52,1,1,10,18,0,0,무,PA130401
419,,,0,0,0,0,0,0,0,,
420,2018-02-24,평택,59,2,2,7,14,0,0,무,PA130401
421,2018-02-12,평택,66,-6,2,-1,44,0,0,무,PA130401
422,,,0,0,0,0,0,0,0,,
423,2018-02-21,평택,38,-1,2,4,12,0,0,무,PA130401
424,2018-02-20,평택,58,1,1,6,18,0,0,무,PA130401
425,2018-02-02,평택,59,-3,1,3,28,0,0,무,PA130401
426,2018-02-19,평택,59,0,1,6,36,0,0,무,PA130401
427,2018-02-09,평택,50,0,1,7,24,0,0,무,PA130401
428,2018-02-22,평택,56,0,2,7,31,0,0,무,PA130401
429,,,0,0,0,0,0,0,0,,
430,2018-02-18,평택,41,-1,1,4,18,0,0,무,PA130401
431,2018-02-23,평택,69,5,2,11,39,0,0,무,PA130401
432,2018-02-13,평택,67,-1,1,4,43,0,0,무,PA130401
433,,,0,0,0,0,0,0,0,,
434,2018-03-18,평택,67,7,0,11,47,2,0,무,PA130401
435,,,0,0,0,0,0,0,0,,
436,,,0,0,0,0,0,0,0,,
437,2018-03-24,평택,71,7,2,14,32,0,0,무,PA130401
438,2018-03-30,평택,63,13,2,20,29,0,0,무,PA130401
439,2018-03-20,평택,42,6,3,12,29,0,0,무,PA130401
440,2018-03-05,평택,68,6,2,11,41,12,0,무,PA130401
441,2018-03-07,평택,62,6,2,11,37,3,0,무,PA130401
442,,,0,0,0,0,0,0,0,,
443,2018-03-03,평택,45,8,1,17,15,0,0,무,PA130401
444,2018-03-02,평택,41,0,1,6,15,0,0,무,PA130401
445,,,0,0,0,0,0,0,0,,
446,2018-03-06,평택,63,3,1,10,23,0,0,무,PA130401
447,2018-03-12,평택,60,7,1,16,29,0,0,무,PA130401
448,2018-03-28,평택,67,14,2,21,33,0,0,무,PA130401
449,2018-03-19,평택,77,8,2,10,56,5,0,무,PA130401
450,2018-03-08,평택,82,3,2,8,57,8,0,무,PA130401
451,2018-03-01,평택,66,0,5,3,44,2,0,무,PA130401
452,2018-03-27,평택,71,12,2,21,38,0,0,무,PA130401
453,2018-03-11,평택,64,6,1,12,21,0,0,무,PA130401
454,2018-03-16,평택,58,7,2,12,35,0,0,무,PA130401
455,2018-03-04,평택,72,12,1,19,51,9,0,무,PA130401
456,2018-03-09,평택,68,4,1,9,45,0,0,무,PA130401
457,,,0,0,0,0,0,0,0,,
458,2018-03-13,평택,69,11,2,19,37,0,0,무,PA130401
459,2018-03-14,평택,66,15,2,22,39,0,0,무,PA130401
460,2018-03-26,평택,76,10,1,19,38,0,0,무,PA130401
461,2018-03-25,평택,73,9,1,17,32,0,0,무,PA130401
462,2018-03-21,평택,73,1,2,3,44,2,0,무,PA130401
463,2018-03-31,평택,61,13,1,21,32,0,0,무,PA130401
464,2018-03-22,평택,69,4,2,10,29,0,0,무,PA130401
465,2018-04-14,평택,83,8,2,13,23,12,0,무,PA130401
466,2018-04-26,평택,61,13,2,22,23,0,0,무,PA130401
467,2018-04-27,평택,64,14,1,22,33,0,0,무,PA130401
468,2018-04-11,평택,52,12,3,17,23,0,0,무,PA130401
469,2018-04-05,평택,93,8,2,10,70,21,0,무,PA130401
470,2018-04-02,평택,69,17,2,24,39,0,0,무,PA130401
471,,,0,0,0,0,0,0,0,,
472,2018-04-18,평택,48,11,1,19,13,0,0,무,PA130401
473,2018-04-09,평택,55,9,1,16,18,0,0,무,PA130401
474,2018-04-06,평택,71,6,4,9,35,10,0,무,PA130401
475,2018-04-17,평택,54,11,1,20,27,0,0,무,PA130401
476,2018-04-12,평택,47,11,2,18,22,0,0,무,PA130401
477,2018-04-07,평택,46,5,5,8,22,0,0,무,PA130401
478,2018-04-23,평택,95,10,3,13,66,60,0,무,PA130401
479,2018-04-21,평택,51,17,1,26,13,0,0,무,PA130401
480,2018-04-25,평택,52,13,1,22,22,0,0,무,PA130401
481,2018-04-15,평택,72,8,3,13,45,0,0,무,PA130401
482,2018-04-24,평택,68,12,1,16,37,0,0,무,PA130401
